Week,Temp,Host_Species,Dev_Stage
1,16.9,Common Milkweed,Egg
1,20.2,Swamp Milkweed,Egg
1,21,Common Milkweed,Egg
1,22.5,Common Milkweed,Egg
1,22.4,Tropical Milkweed,Egg
1,19,Tropical Milkweed,Egg
1,19.7,Swamp Milkweed,Egg
1,16.7,Common Milkweed,Egg
1,16.6,Tropical Milkweed,Egg
1,19.3,Swamp Milkweed,Egg
1,18.8,Tropical Milkweed,Egg
1,16.6,Swamp Milkweed,Egg
1,16.8,Tropical Milkweed,Egg
1,18.3,Swamp Milkweed,Egg
1,22.9,Swamp Milkweed,Egg
1,22,Swamp Milkweed,Egg
1,19.1,Swamp Milkweed,Egg
1,23.2,Tropical Milkweed,Egg
1,18.6,Tropical Milkweed,Egg
1,23.6,Common Milkweed,Egg
1,22,Tropical Milkweed,Egg
1,22.3,Tropical Milkweed,Egg
2,17.8,Swamp Milkweed,Egg
2,23.5,Tropical Milkweed,Egg
2,17.3,Swamp Milkweed,Egg
2,21.7,Common Milkweed,Larva
2,22.8,Swamp Milkweed,Egg
2,20,Common Milkweed,Larva
2,17.6,Swamp Milkweed,Egg
2,23.3,Tropical Milkweed,Egg
2,23.4,Swamp Milkweed,Egg
2,16.8,Swamp Milkweed,Larva
2,21,Tropical Milkweed,Egg
2,19,Swamp Milkweed,Larva
2,18.6,Swamp Milkweed,Egg
2,20.6,Tropical Milkweed,Egg
2,21.1,Tropical Milkweed,Egg
3,21.1,Common Milkweed,Larva
3,21.4,Common Milkweed,Larva
3,23.2,Common Milkweed,Larva
3,17.3,Swamp Milkweed,Egg
3,20.9,Tropical Milkweed,Egg
3,19.1,Swamp Milkweed,Egg
3,18.7,Common Milkweed,Egg
3,20.6,Swamp Milkweed,Larva
3,16.3,Swamp Milkweed,Larva
3,23.8,Tropical Milkweed,Larva
3,19.5,Common Milkweed,Larva
3,16.2,Tropical Milkweed,Egg
3,21.6,Tropical Milkweed,Egg
3,19.4,Swamp Milkweed,Egg
3,20.9,Tropical Milkweed,Egg
3,22.5,Swamp Milkweed,Larva
3,17.4,Common Milkweed,Egg
3,23.2,Common Milkweed,Larva
3,22.3,Tropical Milkweed,Egg
4,19.9,Swamp Milkweed,Larva
4,17.5,Swamp Milkweed,Larva
4,21.1,Tropical Milkweed,Egg
4,20.4,Swamp Milkweed,Larva
4,21.3,Common Milkweed,Pupa
4,22.4,Common Milkweed,Pupa
4,19.9,Common Milkweed,Larva
4,17.4,Tropical Milkweed,Larva
