colony,treatment,ovarydev,colonysize
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,1,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC27,0,179
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,1,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,MeC29,0,219
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
C1,C27,1,241
