reg	mean.p.length	mean.p.width
allo	11.5	4.5
allo	11	4.5
allo	13	4
allo	9.75	3
allo	11.75	4
sym	8	2
sym	8.5	1.5
sym	9	4.25
sym	8	1.5
sym	8.25	1.5
allo	11	4.75
allo	9	4.5
allo	9.25	4
allo	10.75	4.5
allo	10	4.5
sym	7.875	2.875
sym	7.25	2.25
sym	9.75	3
sym	7.5	1.5
sym	7.75	2.25
allo	12.25	4.75
allo	14.75	6
allo	12	6
allo	11.5	6.5
allo	12	6
allo	11.25	5
allo	10.75	6
allo	12.25	5.75
allo	10.5	4.75
sym	6.75	3
sym	7.75	3.375
sym	7.75	3.75
sym	8.5	2.75
sym	6	2.5
allo	9.5	5
allo	10.5	4
allo	9	4
allo	9	4.5
allo	11	4
sym	7.5	3.5
sym	7.5	2.5
sym	7.75	3.25
sym	14	6
sym	9.75	3.5
allo	8	3.5
allo	9	3.25
allo	6.5	3
allo	7.5	2.75
allo	7.5	3.5
sym	7	2.25
sym	8.75	3
sym	7.5	3
sym	7.75	3
sym	7	4
sym	8.5	2.75
sym	10.75	4
sym	7	2.75
sym	7.75	2.75
sym	10	4
sym	8.25	4
sym	10	3.75
sym	10.5	4.5
sym	11.75	4.5
sym	10.25	3.5
sym	9	3
sym	8.75	4
sym	10.25	4.25
sym	9	3.75
