Species	Sepallen	Sepalwid	Petallen	Petalwid			
Setosa	50	33	14	2			
Setosa	46	34	14	3			
Setosa	46	36	10	2			
Setosa	51	33	17	5			
Setosa	55	35	13	2			
Setosa	48	31	16	2			
Setosa	52	34	14	2			
Setosa	49	36	14	1			
Setosa	44	32	13	2			
Setosa	50	35	16	6			
Setosa	44	30	13	2			
Setosa	47	32	16	2			
Setosa	48	30	14	3			
Setosa	51	38	16	2			
Setosa	48	34	19	2			
Setosa	50	30	16	2			
Setosa	50	32	12	2			
Setosa	43	30	11	1			
Setosa	58	40	12	2			
Setosa	51	38	19	4			
Setosa	49	30	14	2			
Setosa	51	35	14	2			
Setosa	50	34	16	4			
Setosa	46	32	14	2			
Setosa	57	44	15	4			
Setosa	50	36	14	2			
Setosa	54	34	15	4			
Setosa	52	41	15	1			
Setosa	55	42	14	2			
Setosa	49	31	15	2			
Setosa	54	39	17	4			
Setosa	50	34	15	2			
Setosa	44	29	14	2			
Setosa	47	32	13	2			
Setosa	46	31	15	2			
Setosa	51	34	15	2			
Setosa	50	35	13	3			
Setosa	49	31	15	1			
Setosa	54	37	15	2			
Setosa	54	39	13	4			
Setosa	51	35	14	3			
Setosa	48	34	16	2			
Setosa	48	30	14	1			
Setosa	45	23	13	3			
Setosa	57	38	17	3			
Setosa	51	38	15	3			
Setosa	54	34	17	2			
Setosa	51	37	15	4			
Setosa	52	35	15	2			
Setosa	53	37	15	2			
Versicol	65	28	46	15			
Versicol	62	22	45	15			
Versicol	59	32	48	18			
Versicol	61	30	46	14			
Versicol	60	27	51	16			
Versicol	56	25	39	11			
Versicol	57	28	45	13			
Versicol	63	33	47	16			
Versicol	70	32	47	14			
Versicol	64	32	45	15			
Versicol	61	28	40	13			
Versicol	55	24	38	11			
Versicol	54	30	45	15			
Versicol	58	26	40	12			
Versicol	55	26	44	12			
Versicol	50	23	33	10			
Versicol	67	31	44	14			
Versicol	56	30	45	15			
Versicol	58	27	41	10			
Versicol	60	29	45	15			
Versicol	57	26	35	10			
Versicol	57	29	42	13			
Versicol	49	24	33	10			
Versicol	56	27	42	13			
Versicol	57	30	42	12			
Versicol	66	29	46	13			
Versicol	52	27	39	14			
Versicol	60	34	45	16			
Versicol	50	20	35	10			
Versicol	55	24	37	10			
Versicol	58	27	39	12			
Versicol	62	29	43	13			
Versicol	59	30	42	15			
Versicol	60	22	40	10			
Versicol	67	31	47	15			
Versicol	63	23	44	13			
Versicol	56	30	41	13			
Versicol	63	25	49	15			
Versicol	61	28	47	12			
Versicol	64	29	43	13			
Versicol	51	25	30	11			
Versicol	57	28	41	13			
Versicol	61	29	47	14			
Versicol	56	29	36	13			
Versicol	69	31	49	15			
Versicol	55	25	40	13			
Versicol	55	23	40	13			
Versicol	66	30	44	14			
Versicol	68	28	48	14			
Versicol	67	30	50	17			
Virginic	64	28	56	22			
Virginic	67	31	56	24			
Virginic	63	28	51	15			
Virginic	69	31	51	23			
Virginic	65	30	52	20			
Virginic	65	30	55	18			
Virginic	58	27	51	19			
Virginic	68	32	59	23			
Virginic	62	34	54	23			
Virginic	77	38	67	22			
Virginic	67	33	57	25			
Virginic	76	30	66	21			
Virginic	49	25	45	17			
Virginic	67	30	52	23			
Virginic	59	30	51	18			
Virginic	63	25	50	19			
Virginic	64	32	53	23			
Virginic	79	38	64	20			
Virginic	67	33	57	21			
Virginic	77	28	67	20			
Virginic	63	27	49	18			
Virginic	72	32	60	18			
Virginic	61	30	49	18			
Virginic	61	26	56	14			
Virginic	64	28	56	21			
Virginic	62	28	48	18			
Virginic	77	30	61	23			
Virginic	63	34	56	24			
Virginic	58	27	51	19			
Virginic	72	30	58	16			
Virginic	71	30	59	21			
Virginic	64	31	55	18			
Virginic	60	30	48	18			
Virginic	63	29	56	18			
Virginic	77	26	69	23			
Virginic	60	22	50	15			
Virginic	69	32	57	23			
Virginic	74	28	61	19			
Virginic	56	28	49	20			
Virginic	73	29	63	18			
Virginic	67	25	58	18			
Virginic	65	30	58	22			
Virginic	69	31	54	21			
Virginic	72	36	61	25			
Virginic	65	32	51	20			
Virginic	64	27	53	19			
Virginic	68	30	55	21			
Virginic	57	25	50	20			
Virginic	58	28	51	24			
Virginic	63	33	60	25			
