nr,CAS,molecule,toxicity
1,110-82-7,Cyclohexane,2.96
2,67-64-1,Acetone,0.85
3,78-93-3,2-Butanone,1.35
4,107-87-9,2-Pentanone,1.84
5,591-78-6,2-Hexanone,2.37
6,110-43-0,2-Heptanone,2.94
7,111-13-7,2-Octanone,3.45
8,821-55-6,2-Nonanone,3.97
9,693-54-9,2-Decanone,4.5
10,6175-49-1,2-Dodecanone,5.19
11,563-80-4,3-Methyl-2-butanone,2
12,108-10-1,4-Methyl-2-pentanone,2.27
13,75-97-8,"3,3-Dimethyl-2-butanone",3.06
14,96-22-0,3-Pentanone,1.75
15,110-12-3,5-Methyl-2-hexanone,2.86
16,502-56-7,5-Nonanone,3.66
17,108-94-1,Cyclohexanone,2.19
18,76-22-2,Camphor,3.14
19,67-56-1,Methanol,0.05
20,64-17-5,Ethanol,0.52
21,71-23-8,1-Propanol,1.12
22,71-36-3,1-Butanol,1.59
23,71-41-0,1-Pentanol,2.21
24,111-27-3,1-Hexanol,2.94
25,111-70-6,1-Heptanol,3.51
26,111-87-5,1-Octanol,3.98
27,143-08-8,1-Nonanol,4.41
28,112-30-1,1-Decanol,4.82
29,112-42-5,1-Undecanol,5.22
30,112-53-8,1-Dodecanol,5.27
31,67-63-0,Isopropanol,0.78
32,78-92-2,2-Butanol,1.31
33,104-76-7,2-Ethyl-1-hexanol,3.66
34,78-83-1,2-Methyl-1-propanol,1.69
35,75-65-0,2-Methyl-2-propanol,1.06
36,600-36-2,"2,4-Dimethyl-3-pentanol",2.85
37,77-74-7,3-Methyl-3-pentanol,2.18
38,108-93-0,Cyclohexanol,2.06
39,111-46-6,Diethyleneglycol,0.15
40,107-21-1,Ethyleneglycol,0.04
41,107-41-5,Hexyleneglycol,1.13
42,57-55-6,"1,2-Propyleneglycol",0.13
43,2216-51-5,L-Menthol,3.92
44,75-09-2,Dichloromethane,2.42
45,67-66-3,Chloroform,3.06
46,56-23-5,Carbontetrachloride,3.56
47,107-06-2,"1,2-Dichloroethane",2.9
48,71-55-6,"1,1,1-Trichloroethane",3.4
49,79-00-5,"1,1,2-Trichloroethane",3.21
50,79-34-5,"1,1,2,2-Tetrachloroethane",3.92
51,76-01-7,Pentachloroethane,4.43
52,67-72-1,Hexachloroethane,5.23
53,58-89-9,Hexachlorocyclohexane,6.52
54,78-87-5,"1,2-Dichloropropane",2.93
55,142-28-9,"1,3-Dichloropropane",2.94
56,96-18-4,"1,2,3-Trichloropropane",3.41
57,110-56-5,"1,4-Dichlorobutane",3.39
58,628-76-2,"1,5-Dichloropentane",3.75
59,627-30-5,3-Chloro-1-propanol,2.07
60,115-20-8,"2,2,2-Trichloroethanol",2.8
61,57-15-8,"1,1,1-Trichloro-2-methyl-2-propanol",3.12
62,106-94-5,1-Bromopropane,3.26
63,109-65-9,1-Bromobutane,3.57
64,111-25-1,1-Bromohexane,4.68
65,629-04-9,1-Bromoheptane,5.09
66,111-83-1,1-Bromoocatne,5.36
67,109-64-8,"1,3-Dibromopropane",5.05
68,107-10-8,n-Propylamine,2.28
69,109-73-9,n-Butylamine,2.44
70,33966-50-6,Sec-butylamine,2.42
71,110-58-7,n-Pentylamine,2.69
72,111-26-2,n-Hexylamine,3.25
73,111-68-2,N-Heptylamine,3.72
74,111-86-4,n-Octylamine,4.4
75,112-20-9,n-Nonylamine,4.82
76,2016-57-1,n-Decylamine,5.18
77,7307-55-3,n-Undecylamine,2.91
78,124-22-1,n-Dodecylamine,6.26
79,2869-34-3,n-Tridecylamine,6.45
80,13952-84-6,2-Butanamine,2.42
81,598-74-3,"1,2-Dimethylpropylamine",2.49
82,5813-64-9,"2,2-Dimethyl-1-propylamine",2.26
83,15673-00-4,"3,3-Dimethylbutylamine",2.23
84,107-45-9,tert-Octylamine,3.72
85,693-16-3,1-Methylheptylamine,4.4
86,141-43-5,2-Aminoethanol,1.47
87,78-96-6,1-Amino-2-propanol,1.47
88,109-85-3,2-Methoxyethylamine,2.16
89,109-89-7,Diethylamine,1.93
90,143-16-8,Di-n-hexylamine,5.38
91,110-73-6,2-(Ethylamine)ethanol,1.78
92,100-37-8,"N,N-Diethylethanolamine",1.82
93,96-80-0,2-(Diisopropylamino)-ethanol,2.86
94,105-14-6,5-(Diethylamino)-2-pentanone,2.67
95,102-69-2,Tripropylamine,3.45
96,91-65-6,"N,N-Diethylcyclohexylamine",3.86
97,103-76-4,1-(2-Hydroxyethyl)piperazine,1.31
98,140-31-8,N-Aminoethylpiperazine,1.82
99,78-90-0,"1,2-Propanediamine",1.81
100,107-15-3,Ethylenediamine,2.55
101,96-29-7,Methylethylketoxime,2.01
102,127-06-0,Acetoneoxime,2.12
103,100-64-1,Cyclohexanoneoxime,2.74
104,761-65-9,"N,N-Dibutylformamide",3.25
105,68-12-2,"N,N-Dimethylformamide",0.84
106,1634-04-4,Methyltert-butylether,2.12
107,142-96-1,Di-n-butylether,3.61
108,60-29-7,Diethylether,1.46
109,108-20-3,Diisopropylether,2.11
110,693-65-2,Di-n-pentylether,4.71
111,109-87-5,Dimethoxymethane,1.04
112,123-91-1,"1,4-Dioxane",0.93
113,110-88-3,Trioxane,1.18
114,109-99-9,Tetrahydrofuran,1.52
115,470-82-6,"1,8-Epoxy-p-menthane",3.18
116,64-19-7,Aceticacid,2.85
117,109-52-4,n-Pentanoicacid,3.12
118,142-62-1,n-Hexanoicacid,2.76
119,112-05-0,n-Nonanoicacid,3.18
120,124-04-9,Adipicacid,3.18
121,75-07-0,Acetaldehyde,3.11
122,123-72-8,Butanal,3.65
123,110-62-3,Pentanal,3.82
124,66-25-1,Hexanal,3.66
125,590-86-3,3-Methyl-butanal,4.42
126,111-30-8,Glutaraldehyde,3.94
127,107-22-2,Glyoxal,2.43
128,141-78-6,Ethylacetate,2.58
129,79-20-9,Methylacetate,2.27
130,109-21-7,n-Butyln-butyrate,4.09
131,123-86-4,n-Butylacetate,3.81
132,540-88-5,tert-Butylacetate,2.55
