Velocity	Lubricant	Torque	Strain
A1	B1	7.8	90.4
A1	B1	7.1	88.9
A1	B1	7.89	85.9
A1	B1	7.82	88.8
A1	B2	9	82.5
A1	B2	8.43	92.4
A1	B2	7.65	82.4
A1	B2	7.7	87.4
A1	B3	7.28	79.6
A1	B3	8.96	95.1
A1	B3	7.75	90.2
A1	B3	7.8	88
A1	B4	7.6	94.1
A1	B4	7	86.6
A1	B4	7.82	85.9
A1	B4	7.8	88.8
A2	B1	7.12	85.1
A2	B1	7.06	89
A2	B1	7.45	75.9
A2	B1	7.45	77.9
A2	B2	8.19	66
A2	B2	8.25	74.5
A2	B2	7.45	83.1
A2	B2	7.45	86.4
A2	B3	7.15	81.2
A2	B3	7.15	72
A2	B3	7.7	79.9
A2	B3	7.45	71.9
A2	B4	7.06	81.2
A2	B4	7.04	79.9
A2	B4	7.52	86.4
A2	B4	7.7	76.4
