id,nr_pathogens,survival
1,6,1
3,7,1
5,5,0
6,10,0
7,7,0
8,8,0
9,7,1
10,4,1
11,5,1
12,5,1
13,7,0
14,7,0
15,7,1
16,5,0
17,5,1
18,6,1
20,6,1
21,5,0
25,7,0
26,6,1
27,6,1
28,8,1
29,7,0
30,6,0
31,6,0
32,5,1
33,4,1
34,8,0
35,7,1
36,7,1
37,8,1
38,6,0
39,5,1
46,4,0
47,5,0
50,6,0
51,3,1
53,6,0
54,6,0
55,6,0
56,9,1
57,6,1
58,6,0
59,7,0
60,4,0
63,6,0
64,5,1
65,6,0
67,4,1
68,5,0
70,5,0
71,4,1
72,6,1
73,7,1
74,7,0
75,7,0
80,7,0
81,5,0
84,8,0
86,5,1
87,9,0
89,9,1
90,7,1
92,4,0
93,3,1
94,6,1
95,5,1
98,5,1
99,4,1
100,5,0
101,6,1
102,4,1
103,4,0
104,7,1
107,6,0
108,8,1
109,5,1
111,6,1
114,9,0
115,7,1
117,8,0
119,5,1
120,9,1
121,6,1
122,5,0
126,5,1
127,8,0
128,5,1
135,8,0
136,8,1
137,6,0
138,3,1
139,6,0
140,5,0
141,4,1
142,5,1
143,6,1
144,7,1
145,6,0
148,7,0
149,4,1
150,7,0
151,7,1
152,5,1
154,8,1
155,6,1
157,6,1
158,6,0
164,5,1
165,4,1
167,8,0
168,6,0
169,7,0
172,7,0
173,7,0
174,6,1
175,8,1
176,6,0
179,5,1
180,8,1
181,7,1
182,4,0
183,5,1
184,5,1
185,7,0
188,5,1
190,6,1
192,5,0
193,6,1
194,6,0
195,7,1
196,4,0
197,7,1
199,6,0
200,3,1
201,6,0
202,5,0
203,7,0
204,5,1
205,5,0
206,4,1
207,6,0
208,6,0
209,6,1
210,6,1
213,5,0
214,9,1
217,5,1
218,7,0
219,6,0
220,6,0
221,5,1
222,5,1
223,5,1
224,6,1
226,8,0
227,6,0
228,5,1
229,4,1
230,5,1
231,6,1
233,5,1
234,6,0
239,8,1
240,7,0
241,5,0
244,8,0
247,7,0
248,6,0
249,7,0
250,7,0
251,7,1
252,6,0
253,6,1
254,9,0
255,9,1
256,6,0
257,7,1
258,7,0
259,6,1
266,6,0
269,7,1
270,8,1
272,6,0
273,8,1
274,7,1
275,6,1
276,5,1
277,3,1
278,4,1
282,6,1
283,8,0
287,5,0
288,7,1
289,8,0
291,6,0
292,8,1
293,8,1
294,7,1
295,5,0
300,9,0
303,6,1
304,7,0
305,8,1
306,4,1
307,5,0
308,5,0
309,5,0
310,5,0
313,5,0
314,4,0
316,7,0
317,7,1
325,7,0
326,5,0
327,6,1
328,6,1
329,5,1
330,6,1
332,5,1
333,4,0
336,4,1
337,5,1
338,7,1
344,6,0
345,8,0
346,7,1
347,6,0
348,5,1
