Fertilizer,Plot,GrowthRate
Chemical,Plot 1,4.86
Chemical,Plot 1,4.77
Chemical,Plot 1,5.77
Chemical,Plot 2,4.54
Chemical,Plot 2,3.09
Chemical,Plot 2,3.99
Chemical,Plot 3,3.59
Chemical,Plot 3,5.07
Chemical,Plot 3,5.11
None,Plot 1,16.53
None,Plot 1,6.15
None,Plot 1,4.53
None,Plot 2,7.51
None,Plot 2,5.13
None,Plot 2,5.31
None,Plot 3,6.47
None,Plot 3,4.98
None,Plot 3,4.15
Organic,Plot 1,5.5
Organic,Plot 1,6.52
Organic,Plot 1,3.58
Organic,Plot 2,5.54
Organic,Plot 2,1.13
Organic,Plot 2,4.44
Organic,Plot 3,4.09
Organic,Plot 3,3.88
Organic,Plot 3,4.46
