Pond_ID,Week,Avg_Water_Temperature,Development_Stage
Pond4,1,17.606945282359032,Egg
Pond5,1,19.960374542934062,Egg
Pond3,12,21.928903586919393,Adult
Pond5,11,18.483366044531973,Adult
Pond5,3,24.366481518557073,Early Tadpole
Pond2,6,15.391863266756463,Late Tadpole
Pond3,7,19.179460317155787,Late Tadpole
Pond3,6,24.675805515202477,Late Tadpole
Pond3,14,20.479718832480874,Adult
Pond5,14,19.234709423081185,Adult
Pond4,6,20.68520283749958,Late Tadpole
Pond3,6,20.759245752580846,Late Tadpole
Pond5,13,22.316477552996403,Adult
Pond2,3,16.276897294224657,Early Tadpole
Pond4,6,17.500164492161048,Late Tadpole
Pond2,8,20.805440123439098,Metamorph
Pond4,11,23.671166072097222,Adult
Pond5,11,20.618666921437736,Adult
Pond1,2,17.3859685979034,Egg
Pond4,5,21.79844779900246,Late Tadpole
Pond2,14,22.399087604473745,Adult
Pond5,1,17.382361524039794,Egg
Pond4,12,18.777288861762948,Adult
Pond1,1,20.343274735305634,Egg
Pond1,5,19.965611906830777,Late Tadpole
Pond3,12,18.896180862192033,Adult
Pond3,13,17.97635174509311,Adult
Pond2,3,15.999848871618633,Early Tadpole
Pond4,4,15.53485296747369,Early Tadpole
Pond4,3,24.585414968831984,Early Tadpole
Pond3,1,23.471431440955897,Egg
Pond4,1,18.549051904627206,Egg
Pond4,12,24.568008851264565,Adult
Pond1,12,21.76769904424303,Adult
Pond3,14,19.825209496426424,Adult
Pond5,13,19.930256577718048,Adult
Pond3,14,15.832844111952596,Adult
Pond5,5,15.917041472584812,Early Tadpole
Pond1,6,21.02440925901119,Late Tadpole
Pond2,3,20.537030523458007,Early Tadpole
Pond4,12,17.12727895024229,Adult
Pond1,9,24.461945428816904,Metamorph
Pond4,5,22.812960504712024,Late Tadpole
Pond2,8,16.13464602017448,Late Tadpole
Pond2,13,24.309291056872926,Adult
Pond1,1,24.7424820853441,Egg
Pond2,14,24.95931242030329,Adult
Pond5,5,15.5587115467735,Early Tadpole
Pond2,3,22.37035556791009,Early Tadpole
Pond4,12,20.45915770164989,Adult
Pond4,1,22.058314838786945,Egg
Pond4,4,24.68651943974135,Late Tadpole
Pond4,13,21.88030010175039,Adult
Pond5,5,23.369638742373738,Late Tadpole
Pond3,7,23.668687053108414,Metamorph
Pond1,1,23.384807637639852,Egg
Pond4,3,19.26091475046941,Early Tadpole
Pond2,2,17.225764175710307,Egg
Pond4,9,18.966516019542517,Metamorph
Pond2,10,23.918969087767767,Adult
Pond2,6,16.466048216920257,Late Tadpole
Pond4,10,20.13326168692393,Metamorph
Pond5,3,17.33228072424528,Early Tadpole
Pond2,8,20.813054172267822,Metamorph
Pond2,14,23.63138521989004,Adult
Pond4,8,23.803599686384167,Metamorph
Pond2,2,17.366851936820787,Egg
Pond2,6,24.076937063485463,Late Tadpole
Pond4,7,20.918887388212845,Late Tadpole
Pond4,2,18.502182467003134,Early Tadpole
Pond1,11,22.081811955832,Adult
Pond5,10,19.816669879641154,Metamorph
Pond5,2,18.779875901222546,Early Tadpole
Pond2,10,22.050843642966598,Adult
Pond5,1,17.48724154430288,Egg
Pond2,8,18.302525290190985,Metamorph
Pond1,1,19.344518444882713,Egg
Pond4,9,17.536821738731387,Metamorph
Pond4,11,19.05202086781417,Adult
Pond4,6,20.714730252050106,Late Tadpole
Pond5,7,22.409738609106682,Metamorph
Pond1,13,22.671948531085718,Adult
Pond5,10,23.22790351876693,Adult
Pond5,7,22.44211656943298,Metamorph
Pond1,10,21.81039427096909,Metamorph
Pond1,3,17.3750647129247,Early Tadpole
Pond1,2,19.00222892872025,Early Tadpole
Pond1,9,19.777148908802275,Metamorph
Pond4,8,15.828913216933543,Late Tadpole
Pond3,13,20.28370121297209,Adult
Pond3,12,19.363358316065558,Adult
Pond1,10,23.021092490267343,Adult
Pond3,7,24.779006687542708,Metamorph
Pond3,9,20.560050386425846,Metamorph
Pond1,4,18.226863882775838,Early Tadpole
Pond3,13,15.434007832981727,Adult
Pond5,4,24.24643330223596,Late Tadpole
Pond2,1,24.191157152786595,Egg
Pond2,8,17.52990167989241,Late Tadpole
Pond1,14,21.954111231066477,Adult
Pond4,14,15.754345470897693,Adult
Pond1,12,16.66215431909253,Adult
Pond4,3,17.168091065864914,Early Tadpole
Pond2,7,17.9449394683943,Late Tadpole
Pond1,12,24.958313750293705,Adult
Pond5,2,21.969250558638148,Early Tadpole
Pond3,2,18.8420183137922,Early Tadpole
Pond4,7,22.371007058430195,Metamorph
Pond3,6,24.152543416691064,Late Tadpole
Pond3,3,24.587024074078464,Early Tadpole
Pond1,9,15.578638977577073,Metamorph
Pond3,10,18.9452179860813,Metamorph
Pond5,14,16.067560659358843,Adult
Pond3,13,18.356600647969632,Adult
Pond1,6,16.696799038955657,Late Tadpole
Pond5,10,21.468483616687237,Metamorph
Pond2,10,18.88268383989872,Metamorph
Pond3,6,17.293947457049498,Late Tadpole
Pond1,1,17.65937924964239,Egg
Pond2,4,18.603450952052683,Early Tadpole
Pond2,10,17.599498628542626,Metamorph
Pond4,6,19.53240846828831,Late Tadpole
Pond5,6,15.323159511096504,Late Tadpole
Pond3,11,17.797635071689456,Metamorph
Pond1,12,19.11206720872186,Adult
Pond4,5,21.027818820232987,Late Tadpole
Pond5,1,17.709576425151297,Egg
Pond4,8,16.3318512522375,Late Tadpole
Pond5,5,15.762003795991632,Early Tadpole
Pond5,12,24.405318271353835,Adult
Pond3,12,19.166390577384792,Adult
Pond5,12,20.811626211808264,Adult
Pond4,5,24.191765518355595,Late Tadpole
Pond5,7,15.827484200353062,Late Tadpole
Pond3,4,23.766614859257928,Late Tadpole
Pond3,6,20.5158787254407,Late Tadpole
Pond4,13,16.64834261137001,Adult
Pond2,4,19.11255116585369,Early Tadpole
Pond2,14,22.776022837352254,Adult
Pond5,3,19.803700818663547,Early Tadpole
Pond1,7,24.85286050665504,Metamorph
Pond5,8,18.767389699379407,Metamorph
Pond4,4,22.49578299976072,Late Tadpole
Pond4,13,18.92989448978859,Adult
Pond4,2,23.291642207065145,Early Tadpole
Pond4,12,20.690814691657476,Adult
Pond4,10,15.635118295900014,Metamorph
Pond3,14,15.368218676359914,Adult
Pond2,3,16.338521188006332,Early Tadpole
Pond4,1,15.136719648269972,Egg
Pond1,8,15.753590603524623,Late Tadpole
Pond1,3,21.91714397168912,Early Tadpole
Pond1,12,20.34346275029463,Adult
Pond1,10,22.499107494699718,Adult
Pond3,7,24.13165752257643,Metamorph
Pond1,10,20.85149532325472,Metamorph
Pond4,5,22.26120844071848,Late Tadpole
Pond5,10,22.570812020424558,Adult
Pond1,5,18.778505492757866,Late Tadpole
Pond3,14,17.410848323296317,Adult
Pond3,7,17.05045328506525,Late Tadpole
Pond1,9,17.514424395117985,Metamorph
Pond5,12,17.74731797025909,Adult
Pond1,5,17.072276490080565,Early Tadpole
Pond3,1,23.782206674791922,Egg
Pond2,10,22.569991321722288,Adult
Pond4,10,15.468964677912199,Metamorph
Pond3,1,17.686724820253072,Egg
Pond1,2,15.221847420303016,Egg
Pond4,14,19.98165186645893,Adult
Pond1,6,19.76210696789014,Late Tadpole
Pond1,9,23.313714900625012,Metamorph
Pond2,8,18.077772397710493,Metamorph
Pond4,13,23.163857352130623,Adult
Pond4,5,24.67973765439823,Late Tadpole
Pond2,1,15.884082233656466,Egg
Pond3,13,22.91817839469633,Adult
Pond1,7,20.89955897137636,Late Tadpole
Pond5,5,19.80045967018475,Late Tadpole
Pond1,6,19.20535778665075,Late Tadpole
Pond1,13,22.846682639443095,Adult
Pond3,7,21.393613569742424,Late Tadpole
Pond1,3,23.05044667519362,Early Tadpole
Pond2,12,24.031510586766263,Adult
Pond2,10,21.172637120972922,Metamorph
Pond4,3,24.80462725092378,Early Tadpole
Pond5,5,21.08087849541885,Late Tadpole
Pond1,6,21.366443216222827,Late Tadpole
Pond1,9,20.548156085422256,Metamorph
Pond3,13,15.910020910513303,Adult
Pond2,14,22.26397032650228,Adult
Pond5,12,20.474463068991113,Adult
Pond4,5,19.509104474161045,Late Tadpole
Pond2,1,24.104712784032728,Egg
Pond4,14,17.979594515419507,Adult
Pond3,14,20.236022760150114,Adult
Pond3,14,21.97641871493463,Adult
Pond1,4,22.96471775673877,Late Tadpole
Pond5,5,19.593468079461722,Late Tadpole
Pond4,12,23.420914150187095,Adult
Pond2,10,22.689177413153974,Adult
Pond3,10,15.662359778518658,Metamorph
Pond1,5,15.45861266404633,Early Tadpole
Pond1,7,21.208056844220913,Late Tadpole
Pond4,4,18.474134082254142,Early Tadpole
Pond3,1,17.09130791078514,Egg
Pond5,14,20.796499344717382,Adult
Pond3,14,18.41563210456545,Adult
Pond4,5,20.372634167140703,Late Tadpole
Pond4,7,19.60119158983572,Late Tadpole
Pond3,10,20.847661059491536,Metamorph
Pond4,10,19.00300488910281,Metamorph
Pond3,6,21.97667573696932,Late Tadpole
Pond2,5,16.800672723492987,Early Tadpole
Pond3,4,21.96501466227079,Early Tadpole
Pond3,2,19.11661214357528,Early Tadpole
Pond4,4,23.74317604854417,Late Tadpole
Pond4,10,20.152360548642108,Metamorph
Pond1,10,24.731103492701045,Adult
Pond1,3,21.019353955409603,Early Tadpole
Pond2,10,17.238490659063206,Metamorph
Pond1,1,23.217906368444492,Egg
Pond3,8,18.450826278223868,Metamorph
Pond4,5,18.476192144826836,Late Tadpole
Pond1,13,15.318046814851652,Adult
Pond1,4,20.487153092074088,Early Tadpole
Pond2,8,20.34423503732523,Metamorph
Pond2,7,18.559914842719863,Late Tadpole
Pond3,2,23.942172628959256,Early Tadpole
Pond4,1,16.287483982996438,Egg
Pond2,12,18.300995133101555,Adult
Pond1,11,18.21582764680029,Adult
Pond4,4,15.922905862287461,Early Tadpole
Pond4,8,19.81145394056293,Metamorph
Pond1,12,21.87784717096083,Adult
Pond2,2,20.116570135472614,Early Tadpole
Pond1,3,16.569776827161938,Early Tadpole
Pond4,12,18.772859652420728,Adult
Pond5,1,15.025950243836466,Egg
Pond5,1,23.683011070355867,Egg
Pond3,13,15.84517007680682,Adult
Pond1,3,20.972780822554306,Early Tadpole
Pond1,11,24.862569958668153,Adult
Pond3,5,20.365906459873326,Late Tadpole
Pond3,12,24.240417591074333,Adult
