Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Anacamptis	16.10	7.00	6.20	1.15	3.00	4.00	3.75	0.00	19.10	4.60	14.30	9.80	4.30	6.80	2.50	9.40	8.80	2.40	17.70	8.80	14.80	2.40
Anacamptis	11.60	10.00	4.70	1.30	2.50	5.00	2.95	1.94	14.30	4.20	11.50	7.70	3.80	6.50	1.90	7.00	7.30	1.40	15.40	7.10	13.10	2.60
Anacamptis	17.10	7.00	8.30	1.30	2.10	5.00	3.20	1.86	13.50	4.10	11.50	7.20	3.80	5.20	1.80	6.70	6.00	1.60	13.50	7.60	12.30	1.90
Anacamptis	13.10	8.00	5.50	1.20	2.10	5.00	2.98	2.18	12.30	3.60	10.10	7.70	3.40	5.70	1.50	5.70	5.30	1.70	12.30	6.00	10.80	2.10
Anacamptis	11.70	7.00	4.50	0.95	1.60	3.00	2.90	0.00	15.60	3.80	13.60	7.40	3.90	5.40	1.90	6.60	6.70	0.70	14.50	8.40	13.00	2.10
Anacamptis	9.00	8.00	4.10	1.10	2.00	3.00	1.83	0.00	13.70	4.10	10.60	7.50	3.40	5.40	1.70	7.10	6.10	1.50	12.20	7.30	11.40	2.40
Anacamptis	11.50	9.00	4.50	1.50	3.00	7.00	3.31	1.55	14.90	4.70	12.40	7.60	4.10	6.00	2.40	6.90	7.50	1.40	15.60	7.30	12.60	2.50
Anacamptis	9.80	8.00	3.70	1.10	1.50	2.00	1.81	0.00	11.60	3.10	11.20	7.40	3.60	5.80	1.80	6.60	6.20	0.90	12.40	7.80	11.30	2.00
Anacamptis	16.00	7.00	5.10	1.20	2.00	5.00	2.87	1.92	11.40	3.50	13.10	7.40	3.80	0.00	0.00	6.80	5.60	1.50	12.90	8.50	11.90	2.20
Anacamptis	22.60	7.00	5.00	1.25	2.70	6.00	4.63	2.34	9.70	4.20	14.50	7.90	3.90	5.50	1.80	6.80	5.70	1.70	11.90	6.30	13.40	2.40
Anacamptis	23.30	6.00	5.70	1.10	2.10	3.00	3.10	0.00	10.30	3.90	16.00	6.50	3.40	4.20	2.00	5.60	4.60	1.60	11.80	6.70	11.90	2.00
Anacamptis	22.70	6.00	5.30	1.00	2.40	5.00	4.48	3.48	12.00	4.50	13.60	7.90	3.70	5.70	2.10	7.90	5.90	3.00	14.80	7.80	12.80	2.20
Anacamptis	11.50	5.00	2.60	0.80	2.10	3.00	3.32	0.00	11.40	4.40	15.00	7.40	3.60	5.50	2.10	7.60	5.80	2.90	15.00	7.00	12.10	1.90
Anacamptis	23.80	9.00	5.00	1.35	2.90	6.00	4.00	2.32	13.20	3.80	13.70	8.00	3.80	5.50	2.00	6.80	5.20	1.90	13.90	9.00	14.20	2.00
Anacamptis	17.60	7.00	4.30	1.10	2.40	6.00	4.22	2.82	12.20	4.10	11.80	8.50	3.80	5.80	1.90	7.20	5.10	2.50	12.60	8.60	13.50	2.20
Anacamptis	18.90	9.00	4.60	1.40	2.60	7.00	4.40	2.26	13.00	3.90	14.80	9.00	4.10	6.20	1.90	7.30	6.40	1.40	12.00	6.80	13.20	2.00
Anacamptis	18.60	7.00	4.90	0.95	1.70	4.00	3.50	0.00	10.60	4.40	14.30	7.80	3.60	5.20	1.70	6.10	5.00	1.80	12.10	6.50	14.00	2.50
Anacamptis	14.60	8.00	4.00	1.25	1.70	4.00	3.16	0.00	12.40	4.20	13.70	8.70	4.10	5.90	2.10	7.50	6.50	1.60	14.50	8.90	14.30	2.20
Anacamptis	22.00	7.00	6.30	0.95	2.00	5.00	4.14	2.99	13.10	3.80	14.80	9.00	3.80	6.30	1.90	7.60	6.30	1.70	15.90	11.20	13.00	2.20
Anacamptis	17.00	6.00	5.60	0.85	1.60	5.00	3.66	2.93	10.00	3.80	11.50	7.20	3.60	5.30	1.80	6.80	5.00	1.80	12.80	9.80	11.30	2.00
Anacamptis	12.70	6.00	4.50	0.85	1.80	4.00	2.77	0.00	11.80	3.70	14.00	7.60	3.80	5.40	2.40	7.10	5.60	1.70	15.10	9.80	13.20	2.40
Anacamptis	17.30	7.00	4.40	0.95	1.60	4.00	3.84	0.00	14.70	4.40	15.10	9.10	3.80	6.30	2.20	7.10	6.10	1.30	14.40	10.30	15.80	2.30
Anacamptis	17.60	8.00	5.00	0.90	2.00	6.00	3.20	1.81	11.10	3.60	13.00	7.50	3.70	5.90	1.60	6.70	5.70	1.30	12.90	8.60	12.00	1.90
Anacamptis	14.30	6.00	4.90	0.80	1.60	4.00	2.82	0.00	12.80	3.30	13.60	8.30	4.00	5.70	1.40	6.30	4.70	1.60	14.20	10.90	12.50	2.20
Anacamptis	19.60	9.00	5.20	1.10	2.40	7.00	4.18	2.00	10.50	3.80	13.80	7.40	4.30	5.20	2.30	6.30	5.50	1.30	11.90	7.20	12.80	2.00
Anacamptis	15.50	7.00	5.80	0.90	1.70	3.00	2.55	0.00	11.70	4.20	12.40	8.60	4.50	5.60	2.00	7.60	6.10	1.80	13.20	9.00	14.00	2.10
Anacamptis	16.50	7.00	3.10	0.95	2.30	6.00	4.47	2.88	11.90	3.50	15.60	7.40	3.30	5.50	2.10	6.60	5.80	0.80	12.30	9.10	14.80	1.70
Anacamptis	18.70	7.00	5.50	1.05	2.40	5.00	3.88	2.44	11.70	4.20	16.20	8.80	3.80	6.80	2.20	7.80	5.90	2.10	14.60	10.90	16.60	2.00
Anacamptis	26.10	7.00	5.80	1.25	2.30	6.00	5.58	3.77	10.30	4.70	13.10	7.10	3.80	4.60	1.90	6.10	5.70	1.60	11.80	5.40	13.70	2.20
Anacamptis	20.30	6.00	4.00	1.45	2.20	5.00	3.25	2.15	9.70	4.40	13.00	6.60	3.70	4.50	2.30	6.20	5.10	1.60	12.70	7.30	11.80	2.20
Anacamptis	18.10	7.00	3.50	1.30	2.00	4.00	3.58	0.00	10.20	3.90	12.20	6.70	3.80	4.90	1.90	6.20	6.00	1.10	11.90	5.40	10.70	2.00
