lon,lat,rainfall
5.5,47.7,61.3
3.4,46.1,57.2
3.1,49.2,44.1
4.8,47.9,66.3
5.6,47.5,50.6
4.1,48.0,63.6
6.9,46.7,45.9
5.4,49.0,53.6
4.4,48.0,68.1
4.0,49.2,11.2
3.7,48.0,40.7
5.6,45.9,51.9
4.2,48.8,47.3
2.3,49.3,31.8
4.0,48.9,54.1
5.7,47.2,15.6
2.9,48.3,62.4
2.9,48.9,63.3
4.7,46.5,40.7
4.7,45.6,42.2
5.2,49.8,42.6
6.2,49.7,54.6
5.6,48.4,55.0
5.1,47.9,53.0
5.6,49.8,60.3
3.6,48.9,22.8
3.8,47.2,76.7
3.1,49.4,52.8
3.5,49.2,43.1
5.2,47.7,70.5
2.5,46.8,36.7
4.2,46.8,35.9
4.2,47.8,84.0
4.5,49.4,50.3
4.1,47.1,51.1
3.6,45.5,52.5
4.1,46.6,59.6
6.5,45.1,52.0
6.7,49.4,37.0
4.5,46.2,68.6
5.1,49.8,54.3
2.6,46.9,67.2
3.6,47.7,43.4
4.1,48.8,54.4
6.3,45.2,29.8
3.3,47.1,45.9
4.4,47.0,50.9
6.9,45.2,60.8
4.6,48.5,70.3
5.1,48.8,27.7
2.6,48.0,47.9
6.1,47.1,39.5
5.0,46.0,56.5
4.7,46.0,16.9
3.7,48.4,67.4
3.5,47.4,63.0
4.1,48.3,27.1
5.4,49.6,70.5
6.4,48.2,71.4
4.6,45.3,37.2
5.3,48.3,69.1
4.9,45.1,55.9
5.1,49.8,19.4
5.4,46.3,42.2
6.2,47.7,51.2
2.4,48.0,55.1
5.8,46.1,72.0
3.2,45.7,43.2
3.0,49.0,26.2
4.9,48.5,65.8
2.5,48.1,44.6
6.4,45.9,92.0
5.1,48.8,50.2
5.6,48.2,54.5
2.1,47.9,33.9
5.0,47.3,21.1
4.8,45.8,45.0
2.8,45.9,44.9
2.8,49.1,47.3
5.5,46.1,48.0
3.6,49.5,49.2
5.5,45.8,49.1
4.8,48.3,68.9
3.9,47.1,53.0
6.6,48.1,62.4
6.2,45.2,73.4
3.8,46.8,74.2
2.2,46.0,54.3
3.5,45.6,68.3
4.0,45.1,37.4
5.5,45.2,48.4
7.0,48.5,36.6
3.8,47.5,41.8
5.8,46.6,17.7
5.0,45.4,77.0
5.5,45.9,56.3
2.8,46.4,74.6
4.0,47.4,46.6
3.2,49.7,20.7
3.7,46.7,52.8
4.6,46.8,49.7
5.3,48.6,61.9
2.5,47.4,51.1
2.7,46.4,44.4
3.6,45.8,85.5
5.3,45.2,26.8
6.2,46.1,52.7
4.8,49.6,57.1
6.3,50.0,53.2
3.9,49.0,38.3
3.6,47.3,73.4
3.8,48.6,88.3
2.9,49.1,66.5
