school,class,breakfast_cal,test_result
1,1,290,251
1,1,202,253
1,1,201,165
1,1,437,345
1,1,411,261
1,2,234,178
1,2,491,430
1,2,479,396
1,2,346,336
1,2,390,312
1,3,405,309
1,3,262,146
1,3,497,374
1,3,439,408
1,3,393,202
2,1,486,324
2,1,316,182
2,1,358,311
2,1,255,201
2,1,225,142
2,2,280,109
2,2,367,256
2,2,492,368
2,2,268,116
2,2,265,145
2,3,310,129
2,3,256,129
2,3,318,135
2,3,424,356
2,3,455,377
3,1,331,148
3,1,246,213
3,1,395,304
3,1,377,313
3,1,440,287
3,2,449,274
3,2,338,253
3,2,337,310
3,2,429,329
3,2,473,250
3,3,379,407
3,3,205,189
3,3,346,250
3,3,445,218
3,3,259,239
