soil,biomass,nr_species
sand,0.469297221,30
sand,1.730870426,39
sand,2.089778481,44
sand,3.925787136,35
sand,4.366792653,25
sand,5.481974683,29
sand,6.68468591,23
sand,7.511650634,18
sand,8.132202505,19
sand,9.572128635,12
sand,0.086653665,39
sand,1.236973905,35
sand,2.532043235,30
sand,3.407941525,30
sand,4.605045962,33
sand,5.367717087,20
sand,6.560842148,26
sand,7.242062143,36
sand,8.503632993,18
sand,9.390953422,7
sand,0.76488801,39
sand,1.176470196,39
sand,2.325120818,34
sand,3.222882069,31
sand,4.136129299,24
sand,5.137176521,25
sand,6.421938112,20
sand,7.065526382,21
sand,8.745929177,12
sand,9.981770129,11
loam,0.175762697,29
loam,1.376778303,30
loam,2.551042556,21
loam,3.00027434,18
loam,4.905623865,13
loam,5.343305425,13
loam,7.7,9
loam,0.553688929,24
loam,1.990296437,26
loam,2.91263671,26
loam,3.216451335,20
loam,4.979884675,21
loam,5.658722899,15
loam,8.1,8
loam,0.739569861,31
loam,1.526934202,28
loam,2.232122387,18
loam,3.885288176,16
loam,4.626505411,19
loam,5.120968439,20
loam,8.3,6
loam,0.511278577,25
loam,1.478232688,23
loam,2.934558004,25
loam,3.50548891,22
loam,4.617909137,15
loam,5.696963821,11
loam,6.093016876,17
loam,0.730062798,24
loam,1.158068376,27
clay,0.100847904,18
clay,0.138596089,19
clay,0.863515079,15
clay,1.292919034,19
clay,2.46916355,12
clay,2.366553089,11
clay,2.629217082,15
clay,3.252286524,9
clay,4.417276192,3
clay,4.780810391,2
clay,0.050175289,18
clay,0.482836915,19
clay,0.652667143,13
clay,1.555336555,9
clay,1.671638196,8
clay,2.870053904,14
clay,2.510720525,13
clay,3.497603852,4
clay,3.678761859,8
clay,4.831542449,2
clay,0.289722659,17
clay,0.077560095,14
clay,1.429020407,15
clay,1.120740925,17
clay,1.507953837,9
clay,2.325963179,8
clay,2.995705821,12
clay,3.538199085,14
clay,4.364541206,7
clay,4.870507888,3
