individual_ID,sex,age_days_post_moult,body_mass_g,autotomy_regime,personality_category,personality_PC1_pre,personality_PC1_post,autotomy_latency_s,autotomy_censored,autotomy_occurred,sham_pinch_duration_s,timepoint,trial,OFT_latency_first_move_s,OFT_total_distance_cm,OFT_time_exposed_zone_s,OFT_time_central_zone_s,OFT_freezing_bouts_n,PCRT_latency_resume_s,PCRT_total_freeze_duration_s,PCRT_shelter_seeking_latency_s
GB001,M,13,0.76,autotomy,Intermediate,0.242,-0.262,5.9,False,True,,pre,1,18.9,767,225,84,15,15.3,41.5,50.0
GB001,M,13,0.76,autotomy,Intermediate,0.242,-0.262,5.9,False,True,,pre,2,29.2,1101,188,66,10,17.7,39.4,51.6
GB001,M,13,0.76,autotomy,Intermediate,0.242,-0.262,5.9,False,True,,pre,3,36.7,885,217,81,12,13.3,66.2,78.2
GB001,M,13,0.76,autotomy,Intermediate,0.242,-0.262,5.9,False,True,,post,1,40.1,502,185,46,7,39.9,83.0,50.4
GB001,M,13,0.76,autotomy,Intermediate,0.242,-0.262,5.9,False,True,,post,2,39.1,527,212,33,12,30.3,31.9,34.2
GB001,M,13,0.76,autotomy,Intermediate,0.242,-0.262,5.9,False,True,,post,3,36.3,405,142,44,16,16.3,82.2,43.0
GB002,M,16,1.08,sham,Bold,1.812,1.89,,,,1.8,pre,1,5.7,2000,349,166,2,2.5,11.1,300.0
GB002,M,16,1.08,sham,Bold,1.812,1.89,,,,1.8,pre,2,3.4,2000,343,159,2,1.5,10.1,300.0
GB002,M,16,1.08,sham,Bold,1.812,1.89,,,,1.8,pre,3,5.2,1583,338,165,2,1.9,14.8,300.0
GB002,M,16,1.08,sham,Bold,1.812,1.89,,,,1.8,post,1,1.8,1465,428,148,1,1.9,10.6,299.0
GB002,M,16,1.08,sham,Bold,1.812,1.89,,,,1.8,post,2,1.0,1522,402,126,1,3.3,3.4,175.7
GB002,M,16,1.08,sham,Bold,1.812,1.89,,,,1.8,post,3,1.0,1231,380,143,2,1.8,9.5,235.8
GB003,M,15,0.95,autotomy,Intermediate,0.22,-0.083,5.4,False,True,,pre,1,7.3,962,273,105,21,8.6,60.3,163.5
GB003,M,15,0.95,autotomy,Intermediate,0.22,-0.083,5.4,False,True,,pre,2,10.8,526,241,105,9,18.7,66.4,147.8
GB003,M,15,0.95,autotomy,Intermediate,0.22,-0.083,5.4,False,True,,pre,3,9.8,586,215,101,14,17.8,56.0,120.6
GB003,M,15,0.95,autotomy,Intermediate,0.22,-0.083,5.4,False,True,,post,1,32.7,233,177,71,16,33.8,31.9,136.0
GB003,M,15,0.95,autotomy,Intermediate,0.22,-0.083,5.4,False,True,,post,2,20.4,284,198,63,20,24.2,59.8,84.0
GB003,M,15,0.95,autotomy,Intermediate,0.22,-0.083,5.4,False,True,,post,3,22.2,569,185,66,36,39.5,33.9,197.1
GB004,M,18,1.12,autotomy,Intermediate,0.093,-0.25,14.4,False,True,,pre,1,139.9,1234,252,77,19,34.6,17.9,138.7
GB004,M,18,1.12,autotomy,Intermediate,0.093,-0.25,14.4,False,True,,pre,2,51.6,1650,251,86,11,12.3,16.8,300.0
GB004,M,18,1.12,autotomy,Intermediate,0.093,-0.25,14.4,False,True,,pre,3,146.6,1140,230,101,17,18.4,19.9,193.1
GB004,M,18,1.12,autotomy,Intermediate,0.093,-0.25,14.4,False,True,,post,1,231.7,340,158,55,29,12.5,38.9,86.2
GB004,M,18,1.12,autotomy,Intermediate,0.093,-0.25,14.4,False,True,,post,2,153.4,444,180,65,12,15.0,13.7,96.1
GB004,M,18,1.12,autotomy,Intermediate,0.093,-0.25,14.4,False,True,,post,3,104.9,429,162,44,22,8.2,36.1,101.0
