individual_ID,sex,age_days_post_moult,body_mass_g,autotomy_regime,personality_PC1_pre,personality_category,OFT_pre_T1_latency_first_move_s,OFT_pre_T1_total_distance_cm,OFT_pre_T1_time_exposed_zone_s,OFT_pre_T1_time_central_zone_s,OFT_pre_T1_freezing_bouts_n,OFT_pre_T2_latency_first_move_s,OFT_pre_T2_total_distance_cm,OFT_pre_T2_time_exposed_zone_s,OFT_pre_T2_time_central_zone_s,OFT_pre_T2_freezing_bouts_n,OFT_pre_T3_latency_first_move_s,OFT_pre_T3_total_distance_cm,OFT_pre_T3_time_exposed_zone_s,OFT_pre_T3_time_central_zone_s,OFT_pre_T3_freezing_bouts_n,PCRT_pre_T1_latency_resume_s,PCRT_pre_T1_total_freeze_duration_s,PCRT_pre_T1_shelter_seeking_latency_s,PCRT_pre_T2_latency_resume_s,PCRT_pre_T2_total_freeze_duration_s,PCRT_pre_T2_shelter_seeking_latency_s,PCRT_pre_T3_latency_resume_s,PCRT_pre_T3_total_freeze_duration_s,PCRT_pre_T3_shelter_seeking_latency_s,autotomy_latency_s,autotomy_censored,autotomy_occurred,sham_pinch_duration_s,OFT_post_T1_latency_first_move_s,OFT_post_T1_total_distance_cm,OFT_post_T1_time_exposed_zone_s,OFT_post_T1_time_central_zone_s,OFT_post_T1_freezing_bouts_n,OFT_post_T2_latency_first_move_s,OFT_post_T2_total_distance_cm,OFT_post_T2_time_exposed_zone_s,OFT_post_T2_time_central_zone_s,OFT_post_T2_freezing_bouts_n,OFT_post_T3_latency_first_move_s,OFT_post_T3_total_distance_cm,OFT_post_T3_time_exposed_zone_s,OFT_post_T3_time_central_zone_s,OFT_post_T3_freezing_bouts_n,PCRT_post_T1_latency_resume_s,PCRT_post_T1_total_freeze_duration_s,PCRT_post_T1_shelter_seeking_latency_s,PCRT_post_T2_latency_resume_s,PCRT_post_T2_total_freeze_duration_s,PCRT_post_T2_shelter_seeking_latency_s,PCRT_post_T3_latency_resume_s,PCRT_post_T3_total_freeze_duration_s,PCRT_post_T3_shelter_seeking_latency_s,personality_PC1_post
GB001,M,13,0.86,autotomy,-0.766,Shy,97.5,252,118,39,17,82.0,225,138,18,24,56.1,396,141,41,17,53.9,79.6,38.9,139.7,61.8,50.5,71.8,100.6,31.9,11.9,False,True,,78.2,184,132,65,45,169.6,115,143,38,50,63.4,158,122,42,47,138.4,267.4,18.6,54.9,255.2,9.6,53.9,272.0,7.5,-1.01
GB002,M,10,0.93,autotomy,0.422,Intermediate,18.5,534,263,58,11,30.2,487,266,60,4,40.2,503,258,67,8,10.4,14.4,111.7,14.1,20.5,106.3,13.3,23.3,33.6,12.2,False,True,,27.5,938,216,70,3,29.4,801,218,94,7,18.9,1037,175,74,3,14.5,19.4,62.6,14.5,38.6,119.8,15.9,24.8,111.3,0.143
GB003,M,19,0.89,sham,-1.308,Shy,86.8,790,40,0,13,106.5,440,13,0,24,69.6,352,10,0,41,64.4,187.2,24.3,93.4,223.0,31.7,63.2,194.6,16.8,,,,26.0,100.3,90,106,15,23,141.6,232,97,2,39,149.6,141,100,9,42,69.3,170.3,44.0,29.5,197.8,59.5,23.8,274.8,60.5,-1.347
GB004,M,21,1.07,sham,-1.991,Shy,598.0,58,10,0,56,338.3,183,17,0,38,598.0,126,10,0,39,257.9,295.0,25.4,299.0,295.0,16.4,269.8,295.0,38.0,,,,26.0,403.0,137,58,0,57,557.7,101,22,0,68,567.7,169,10,3,72,92.9,270.8,12.5,201.1,295.0,34.0,276.4,157.4,17.9,-2.074
GB005,M,17,1.13,sham,-0.858,Shy,55.2,358,70,13,53,118.9,248,87,13,37,100.0,259,98,34,25,31.7,268.6,15.1,73.3,295.0,13.1,64.7,295.0,9.9,,,,11.9,116.7,162,142,28,34,81.0,105,179,57,29,78.3,168,133,22,22,36.9,102.6,88.6,52.6,90.1,53.6,59.4,126.7,85.3,-0.897
GB006,M,14,1.17,sham,0.84,Bold,2.1,1019,277,122,10,3.2,582,265,112,7,2.5,1622,299,116,18,8.0,27.5,158.5,10.2,46.0,240.4,6.0,23.6,273.4,,,,8.1,11.0,584,319,114,4,7.3,569,309,100,13,30.0,612,301,96,14,8.2,58.9,144.6,6.1,114.9,174.6,16.9,101.8,76.5,0.895
GB007,M,19,1.18,sham,1.781,Bold,3.9,2000,375,203,3,3.8,2000,368,186,2,5.2,2000,347,184,3,2.2,20.9,280.4,1.8,29.9,259.4,1.6,14.8,300.0,,,,4.0,5.0,2000,428,159,2,3.8,2000,373,154,1,6.5,2000,382,160,0,4.2,5.0,291.5,1.9,8.4,300.0,3.7,16.6,300.0,1.617
GB008,M,11,1.16,sham,-0.677,Shy,33.0,469,132,32,17,30.9,328,152,23,21,38.6,292,119,18,8,26.6,106.9,30.2,13.2,157.1,37.5,20.7,295.0,35.5,,,,26.0,48.2,451,180,42,28,76.7,514,183,57,35,104.7,394,156,45,32,46.8,33.4,20.4,67.4,55.7,36.6,74.0,40.9,24.9,-0.496
GB009,M,13,1.02,sham,-1.549,Shy,382.6,266,75,20,65,282.0,485,57,21,67,331.3,545,79,28,48,58.6,280.2,21.0,66.6,295.0,33.5,55.3,295.0,22.1,,,,26.0,381.1,390,113,0,25,301.2,364,93,0,24,205.7,252,113,0,27,95.5,295.0,21.4,186.5,168.1,56.3,90.8,160.4,18.8,-1.486
GB010,M,16,0.96,autotomy,-0.343,Intermediate,44.2,561,240,41,33,17.0,624,180,67,6,43.2,1084,201,37,4,40.2,129.9,61.5,36.5,110.3,24.5,57.8,140.5,65.4,15.6,False,True,,52.1,573,143,66,7,132.5,371,94,54,15,141.8,525,158,45,20,20.7,44.2,71.5,20.8,69.0,95.9,24.0,24.2,89.0,-0.452
