individual_ID,sex,age_days_post_moult,body_mass_g,autotomy_regime,personality_PC1_pre,personality_category,OFT_pre_T1_latency_first_move_s,OFT_pre_T1_total_distance_cm,OFT_pre_T1_time_exposed_zone_s,OFT_pre_T1_time_central_zone_s,OFT_pre_T1_freezing_bouts_n,OFT_pre_T2_latency_first_move_s,OFT_pre_T2_total_distance_cm,OFT_pre_T2_time_exposed_zone_s,OFT_pre_T2_time_central_zone_s,OFT_pre_T2_freezing_bouts_n,OFT_pre_T3_latency_first_move_s,OFT_pre_T3_total_distance_cm,OFT_pre_T3_time_exposed_zone_s,OFT_pre_T3_time_central_zone_s,OFT_pre_T3_freezing_bouts_n,PCRT_pre_T1_latency_resume_s,PCRT_pre_T1_total_freeze_duration_s,PCRT_pre_T1_shelter_seeking_latency_s,PCRT_pre_T2_latency_resume_s,PCRT_pre_T2_total_freeze_duration_s,PCRT_pre_T2_shelter_seeking_latency_s,PCRT_pre_T3_latency_resume_s,PCRT_pre_T3_total_freeze_duration_s,PCRT_pre_T3_shelter_seeking_latency_s,autotomy_latency_s,autotomy_censored,autotomy_occurred,sham_pinch_duration_s,OFT_post_T1_latency_first_move_s,OFT_post_T1_total_distance_cm,OFT_post_T1_time_exposed_zone_s,OFT_post_T1_time_central_zone_s,OFT_post_T1_freezing_bouts_n,OFT_post_T2_latency_first_move_s,OFT_post_T2_total_distance_cm,OFT_post_T2_time_exposed_zone_s,OFT_post_T2_time_central_zone_s,OFT_post_T2_freezing_bouts_n,OFT_post_T3_latency_first_move_s,OFT_post_T3_total_distance_cm,OFT_post_T3_time_exposed_zone_s,OFT_post_T3_time_central_zone_s,OFT_post_T3_freezing_bouts_n,PCRT_post_T1_latency_resume_s,PCRT_post_T1_total_freeze_duration_s,PCRT_post_T1_shelter_seeking_latency_s,PCRT_post_T2_latency_resume_s,PCRT_post_T2_total_freeze_duration_s,PCRT_post_T2_shelter_seeking_latency_s,PCRT_post_T3_latency_resume_s,PCRT_post_T3_total_freeze_duration_s,PCRT_post_T3_shelter_seeking_latency_s,personality_PC1_post
GB001,M,13,0.76,autotomy,0.242,Intermediate,18.9,767,225,84,15,29.2,1101,188,66,10,36.7,885,217,81,12,15.3,41.5,50.0,17.7,39.4,51.6,13.3,66.2,78.2,5.9,False,True,,40.1,502,185,46,7,39.1,527,212,33,12,36.3,405,142,44,16,39.9,83.0,50.4,30.3,31.9,34.2,16.3,82.2,43.0,-0.262
GB002,M,16,1.08,sham,1.812,Bold,5.7,2000,349,166,2,3.4,2000,343,159,2,5.2,1583,338,165,2,2.5,11.1,300.0,1.5,10.1,300.0,1.9,14.8,300.0,,,,1.8,1.8,1465,428,148,1,1.0,1522,402,126,1,1.0,1231,380,143,2,1.9,10.6,299.0,3.3,3.4,175.7,1.8,9.5,235.8,1.89
GB003,M,15,0.95,autotomy,0.22,Intermediate,7.3,962,273,105,21,10.8,526,241,105,9,9.8,586,215,101,14,8.6,60.3,163.5,18.7,66.4,147.8,17.8,56.0,120.6,5.4,False,True,,32.7,233,177,71,16,20.4,284,198,63,20,22.2,569,185,66,36,33.8,31.9,136.0,24.2,59.8,84.0,39.5,33.9,197.1,-0.083
GB004,M,18,1.12,autotomy,0.093,Intermediate,139.9,1234,252,77,19,51.6,1650,251,86,11,146.6,1140,230,101,17,34.6,17.9,138.7,12.3,16.8,300.0,18.4,19.9,193.1,14.4,False,True,,231.7,340,158,55,29,153.4,444,180,65,12,104.9,429,162,44,22,12.5,38.9,86.2,15.0,13.7,96.1,8.2,36.1,101.0,-0.25
GB005,M,13,1.01,autotomy,1.496,Bold,3.1,2000,379,173,13,4.5,2000,388,156,19,4.2,2000,390,138,13,3.0,10.6,97.3,3.2,12.2,126.2,1.9,5.4,126.1,5.5,False,True,,7.1,714,248,91,21,2.5,1380,230,90,18,6.8,1340,215,75,17,14.2,8.5,300.0,9.3,14.5,165.3,11.1,8.0,152.0,0.511
GB006,F,15,0.98,sham,0.701,Bold,12.9,1054,229,116,5,14.9,1045,278,130,5,23.0,930,240,134,2,9.7,17.6,174.4,9.8,11.6,107.1,6.6,10.7,102.6,,,,15.8,11.7,572,258,161,4,10.2,506,269,155,7,13.7,1147,243,137,5,6.4,24.1,197.5,20.1,19.1,72.6,22.6,22.6,87.6,0.568
GB007,F,14,1.23,sham,-0.544,Shy,93.9,1260,142,23,25,91.4,1342,175,9,31,97.6,852,136,44,39,30.1,40.2,64.0,50.3,57.5,51.9,27.9,45.8,48.0,,,,26.0,136.3,1230,129,48,14,105.6,764,155,66,12,191.1,1269,127,60,16,60.7,104.8,77.7,57.1,66.6,38.0,31.1,71.1,52.6,-0.577
GB008,M,18,1.08,autotomy,1.256,Bold,4.4,2000,344,118,1,3.0,1808,393,146,5,9.5,2000,358,138,2,9.5,53.2,300.0,10.0,13.3,300.0,9.3,17.6,115.7,6.6,False,True,,50.1,493,250,46,10,80.1,517,214,43,13,58.9,907,205,58,12,4.2,29.9,15.3,6.3,42.1,58.3,7.2,34.7,44.9,0.052
GB009,M,8,1.24,sham,-0.84,Shy,490.9,347,72,10,26,92.4,171,79,7,50,241.4,462,76,13,30,35.7,106.3,87.4,57.6,104.4,98.3,40.2,76.5,84.0,,,,9.8,44.9,189,116,0,28,76.7,169,158,0,34,30.7,177,138,0,16,64.4,188.9,25.8,53.3,196.7,30.4,22.0,225.0,21.4,-0.911
GB010,F,7,0.91,sham,-0.549,Shy,35.6,1056,208,61,6,57.9,1283,237,68,3,84.3,671,152,59,2,42.4,85.4,24.7,31.8,61.4,28.9,32.8,107.4,8.7,,,,17.0,30.6,710,154,51,16,94.0,538,180,46,30,31.0,749,149,34,16,76.2,71.9,74.8,113.9,70.6,66.1,53.9,54.5,57.0,-0.491
