"Location","Year","Group","Individual","Status","BodySize1","BodySize2","Antenna1","Antenna2"
"Heverlee - Kleine poel",2018,"A",1,"M",9.066,8.836,0.967,1.064
"Heverlee - Kleine poel",2018,"A",2,"M",7.996,8.278,1.103,1.101
"Heverlee - Kleine poel",2018,"A",3,"M",7.846,7.853,0.815,0.858
"Heverlee - Kleine poel",2018,"A",4,"M",8.849,8.711,0.896,0.912
"Heverlee - Kleine poel",2018,"A",5,"M",9.33,9.445,0.973,0.981
"Heverlee - Kleine poel",2018,"A",6,"M",8.638,8.345,0.804,0.798
"Heverlee - Kleine poel",2018,"A",7,"M",8.795,8.584,1.02,1.062
"Heverlee - Kleine poel",2018,"A",8,"M",8.569,8.585,NA,NA
"Heverlee - Kleine poel",2018,"A",9,"M",8.607,8.68,1.015,1.098
"Heverlee - Kleine poel",2018,"A",10,"M",7.943,8.61,1.053,1.004
"Heverlee - Kleine poel",2018,"A",11,"M",8.395,8.668,1.071,0.984
"Heverlee - Kleine poel",2018,"A",12,"M",8.718,8.49,1.078,1.05
"Heverlee - Kleine poel",2018,"A",13,"M",8.386,8.472,1.122,1.122
"Heverlee - Kleine poel",2018,"A",14,"M",8.821,8.749,1.065,1.044
"Heverlee - Kleine poel",2018,"A",15,"M",8.622,8.314,1.224,1.139
"Heverlee - Kleine poel",2018,"A",16,"M",8.637,8.569,1.003,0.94
"Heverlee - Kleine poel",2018,"A",17,"M",8.233,8.017,1.031,1.145
"Heverlee - Kleine poel",2018,"A",18,"M",8.687,8.631,1.077,1.066
"Heverlee - Kleine poel",2018,"A",19,"M",8.326,8.377,1.022,0.965
"Heverlee - Kleine poel",2018,"A",20,"M",9.046,8.786,1.101,1.029
"Heverlee - Kleine poel",2018,"A",21,"M",8.77,8.36,0.94,0.985
"Heverlee - Kleine poel",2018,"A",22,"M",7.996,8.364,0.95,0.917
"Heverlee - Kleine poel",2018,"A",23,"M",NA,NA,0.972,1.042
"Heverlee - Kleine poel",2018,"A",24,"M",8.775,8.587,1.043,1.063
"Heverlee - Kleine poel",2018,"A",25,"M",8.655,8.338,NA,NA
"Heverlee - Kleine poel",2018,"A",26,"M",8.483,8.28,NA,NA
"Heverlee - Kleine poel",2018,"A",27,"M",10.131,10.274,1.235,1.273
"Heverlee - Kleine poel",2018,"A",28,"M",8.233,8.031,0.815,0.682
"Heverlee - Kleine poel",2018,"A",29,"M",8.408,8.49,0.857,0.824
"Heverlee - Kleine poel",2018,"A",30,"M",8.433,8.524,1.176,1.056
"Heverlee - Kleine poel",2018,"A",31,"M",8.014,8.313,0.948,0.912
"Heverlee - Kleine poel",2018,"A",32,"M",8.785,9.067,1.113,1.085
"Heverlee - Kleine poel",2018,"A",33,"M",7.68,7.733,0.712,0.892
"Heverlee - Kleine poel",2018,"A",34,"M",6.283,6.958,0.882,0.964
"Heverlee - Kleine poel",2018,"A",35,"M",7.893,7.95,NA,NA
"Heverlee - Kleine poel",2018,"A",36,"M",7.073,7.198,1.003,1.008
"Heverlee - Kleine poel",2018,"A",37,"M",8.736,8.619,0.982,0.952
"Heverlee - Kleine poel",2018,"A",38,"M",8.676,8.619,1.146,0.967
"Heverlee - Kleine poel",2018,"A",39,"M",7.889,7.888,1.109,1.012
"Heverlee - Kleine poel",2018,"A",40,"M",8.04,7.942,0.921,1.053
"Heverlee - Kleine poel",2018,"A",41,"M",8.698,8.662,1.116,1.078
"Heverlee - Kleine poel",2018,"A",42,"M",7.089,7.009,0.968,0.876
"Heverlee - Kleine poel",2018,"A",43,"M",8.311,8.443,1.044,1.08
"Heverlee - Kleine poel",2018,"A",44,"M",9.001,9.157,1.074,1.097
"Heverlee - Kleine poel",2018,"A",45,"M",9.004,8.77,0.907,0.98
"Heverlee - Kleine poel",2018,"A",46,"M",7.929,7.645,0.846,0.909
"Heverlee - Kleine poel",2018,"A",47,"M",8.58,8.776,1.087,1.069
"Heverlee - Kleine poel",2018,"A",48,"M",6.953,6.96,0.839,0.826
"Heverlee - Kleine poel",2018,"A",49,"M",8.152,8.137,0.955,0.924
"Heverlee - Kleine poel",2018,"A",50,"M",8.696,8.659,NA,NA
"Heverlee - Kleine poel",2018,"A",51,"M",8.697,9.059,1.114,1.163
"Heverlee - Kleine poel",2018,"A",52,"M",8.001,8.003,0.892,0.874
"Heverlee - Kleine poel",2018,"A",53,"U",7.804,7.957,0.842,0.959
"Heverlee - Kleine poel",2018,"A",54,"U",7.419,7.752,0.647,0.817
"Heverlee - Kleine poel",2018,"A",55,"U",7.574,7.789,0.799,0.828
"Heverlee - Kleine poel",2018,"A",56,"U",7.563,7.694,0.756,0.85
"Heverlee - Kleine poel",2018,"A",57,"U",7.846,7.458,0.924,0.807
"Heverlee - Kleine poel",2018,"A",58,"U",7.265,7.436,0.896,0.974
"Heverlee - Kleine poel",2018,"A",59,"U",8.083,7.959,0.863,0.756
"Heverlee - Kleine poel",2018,"A",60,"U",8.726,8.438,1.117,1.152
"Heverlee - Kleine poel",2018,"A",61,"U",8.002,7.768,1.06,1.082
"Heverlee - Kleine poel",2018,"A",62,"U",8.882,9.506,1.076,1.258
"Heverlee - Kleine poel",2018,"A",63,"U",8.486,8.702,1.005,1.129
"Heverlee - Kleine poel",2018,"A",64,"U",8.25,7.97,NA,NA
"Heverlee - Kleine poel",2018,"A",65,"U",8.395,8.154,1.071,1.144
"Heverlee - Kleine poel",2018,"A",66,"U",7.674,7.746,NA,NA
"Heverlee - Kleine poel",2018,"A",67,"U",8.282,8.205,0.815,0.829
"Heverlee - Kleine poel",2018,"A",68,"U",8.347,8.259,1.006,1.092
"Heverlee - Kleine poel",2018,"A",69,"U",7.503,7.699,1.053,1.062
"Heverlee - Kleine poel",2018,"A",70,"U",7.631,7.464,0.763,0.802
"Heverlee - Kleine poel",2018,"A",71,"U",7.431,7.849,0.773,0.834
"Heverlee - Kleine poel",2018,"A",72,"U",8.077,8.049,0.774,0.62
"Heverlee - Kleine poel",2018,"A",73,"U",6.629,6.346,0.652,0.646
"Heverlee - Kleine poel",2018,"A",74,"U",8.824,8.839,1.137,1.044
"Heverlee - Kleine poel",2018,"A",75,"U",8.014,8.33,NA,NA
"Heverlee - Kleine poel",2018,"A",76,"U",8.101,7.795,0.93,0.867
"Heverlee - Kleine poel",2018,"A",77,"U",8.22,8.391,1.004,0.975
"Heverlee - Kleine poel",2018,"A",78,"U",7.42,7.621,0.729,0.818
"Heverlee - Kleine poel",2018,"A",79,"U",8.825,9.016,0.954,0.965
"Heverlee - Kleine poel",2018,"A",80,"U",8.392,8.536,1.092,1.098
"Heverlee - Kleine poel",2018,"A",81,"U",8.96,9.397,1.197,1.134
"Heverlee - Kleine poel",2018,"A",82,"U",8.742,8.786,1.101,1.147
"Heverlee - Kleine poel",2018,"A",83,"U",8.056,8.563,1.269,1.173
"Heverlee - Kleine poel",2018,"A",84,"U",NA,NA,0.992,1.042
"Heverlee - Kleine poel",2018,"A",85,"U",8.704,8.016,1.051,1.061
"Heverlee - Kleine poel",2018,"A",86,"U",8.472,8.302,1.113,1.061
"Heverlee - Kleine poel",2018,"A",87,"U",7.617,7.456,0.881,0.835
"Heverlee - Kleine poel",2018,"A",88,"U",8.844,8.389,1.166,1.113
"Heverlee - Kleine poel",2018,"A",89,"U",7.194,7.309,0.793,0.864
"Heverlee - Kleine poel",2018,"A",90,"U",7.491,7.516,0.889,0.925
"Heverlee - Kleine poel",2018,"A",91,"U",9.089,8.839,1.161,1.268
"Heverlee - Kleine poel",2018,"A",92,"U",8.058,7.994,1.018,0.936
"Heverlee - Kleine poel",2018,"A",93,"U",7.971,7.941,0.917,0.935
"Heverlee - Kleine poel",2018,"A",94,"U",7.708,7.916,0.988,0.876
"Heverlee - Kleine poel",2018,"A",95,"U",NA,NA,0.852,0.669
"Heverlee - Kleine poel",2018,"A",96,"U",8.365,8.317,1.086,1.021
"Heverlee - Kleine poel",2018,"A",97,"U",8.769,8.475,1.215,1.209
"Heverlee - Kleine poel",2018,"A",98,"U",8.02,7.924,0.879,0.866
"Heverlee - Kleine poel",2018,"A",99,"U",NA,NA,0.939,0.958
"Heverlee - Kleine poel",2018,"A",100,"U",8.306,8.548,1.093,1.163
