"ind","pop","group","gear","date","lat","lon","depth","TL","SL","WW","sex","maturity"
"SO_02","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_04","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_05","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_08","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_10","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_33","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_34","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_35","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_36","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_38","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_39","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_40","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_41","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_42","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_43","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"SO_44","SO","West_Antarctic","trammel","03/2006",-60.7008,-45.5771,,,,,,
"EI_05","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_06","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_07","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_08","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_09","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_10","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_11","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_12","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_13","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_14","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_15","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_16","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_17","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_18","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_19","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_20","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_21","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_22","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_23","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"EI_29","EI","West_Antarctic","otter trawl","03/2006",-61.2416,-55.6183,,,,,,
"PKGI_01","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_02","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_05","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_06","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_07","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_08","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_09","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_10","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_11","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
"PKGI_13","PKGI","West_Antarctic","trammel","03/2006",-62.2319,-58.6777,,,,,,
