NAAM,plotID,X_LAMBERTX_hoekpunt,X_LAMBERTY_hoekpunt,X_HOOGTE_MT,PRECISIE_H,PRECISIE_X,Lambert72X_middentussenhoekpunten,Lambert72Y_middentussenhoekpunten,SuitableLocation,SuitableDimensions,SuitableDikeSide,Management,Vegtype,limiteddataORextensivedata,Suitability
bv030,BV09/003,125382.988,188715.317,5.937,0.012,0.008,125382.351,188714.571,yes,yes,yes,schapen,2,extensive data,very suitable
bv031,BV09/003,125381.714,188713.825,5.921,0.011,0.008,125382.351,188714.571,yes,yes,yes,schapen,2,extensive data,very suitable
bv040,BV09/004,125559.215,188890.927,7.69,0.014,0.012,125558.518,188890.216,yes,yes,yes,schapen,2,extensive data,very suitable
bv041,BV09/004,125557.82,188889.504,7.656,0.016,0.014,125558.518,188890.216,yes,yes,yes,schapen,2,extensive data,very suitable
bv060,BV09/006,126240.255,189409.822,7.776,0.014,0.01,126239.534,189409.137,yes,yes,yes,schapen,1,extensive data,very suitable
bv061,BV09/006,126238.812,189408.451,7.753,0.01,0.007,126239.534,189409.137,yes,yes,yes,schapen,1,extensive data,very suitable
bv070,BV09/007,126236.541,189413.686,6.024,0.014,0.011,126235.791,189413.038,yes,yes,yes,schapen,2,extensive data,very suitable
bv071,BV09/007,126235.04,189412.39,6.109,0.018,0.014,126235.791,189413.038,yes,yes,yes,schapen,2,extensive data,very suitable
bv080,BV09/008,126615.801,189709.208,7.864,0.015,0.01,126614.956,189708.689,yes,yes,yes,schapen,1,extensive data,very suitable
bv081,BV09/008,126614.111,189708.169,7.873,0.013,0.008,126614.956,189708.689,yes,yes,yes,schapen,1,extensive data,very suitable
bv090,BV09/009,126612.83,189713.725,5.657,0.015,0.01,126612.034,189713.159,yes,yes,yes,schapen,1,extensive data,very suitable
bv091,BV09/009,126611.237,189712.592,5.573,0.02,0.013,126612.034,189713.159,yes,yes,yes,schapen,1,extensive data,very suitable
bv130,BV09/013,142500.878,201033.502,6.97,0.011,0.008,142500.132,201032.855,yes,yes,yes,schapen,4,extensive data,very suitable
bv131,BV09/013,142499.385,201032.208,7.011,0.012,0.01,142500.132,201032.855,yes,yes,yes,schapen,4,extensive data,very suitable
bv150,BV09/015,141774.519,200983.506,7.59,0.011,0.007,141773.52,200983.49,yes,yes,yes,schapen,4,extensive data,very suitable
bv151,BV09/015,141772.521,200983.474,7.559,0.01,0.007,141773.52,200983.49,yes,yes,yes,schapen,4,extensive data,very suitable
bv240,BV09/024,142990.187,200677.309,6.615,0.013,0.013,142990.963,200677.931,yes,yes,yes,schapen,4,extensive data,very suitable
bv241,BV09/024,142991.739,200678.553,6.662,0.012,0.011,142990.963,200677.931,yes,yes,yes,schapen,4,extensive data,very suitable
bv290,BV09/029,140695.47,200576.932,7.161,0.01,0.006,140696.245,200576.253,yes,yes,yes,schapen,3,extensive data,very suitable
bv291,BV09/029,140697.019,200575.574,7.116,0.012,0.008,140696.245,200576.253,yes,yes,yes,schapen,3,extensive data,very suitable
bv310,BV09/031,138879.437,200875.879,7.462,0.009,0.007,138880.058,200876.679,yes,yes,yes,schapen,3,extensive data,very suitable
bv311,BV09/031,138880.678,200877.478,7.448,0.01,0.008,138880.058,200876.679,yes,yes,yes,schapen,3,extensive data,very suitable
bv320,BV09/032,138274.118,200221.223,7.073,0.01,0.008,138274.736,200222.017,yes,yes,yes,schapen,1,extensive data,very suitable
bv321,BV09/032,138275.353,200222.811,7.101,0.01,0.008,138274.736,200222.017,yes,yes,yes,schapen,1,extensive data,very suitable
bv340,BV09/034,136781.14,198766.25,6.491,0.01,0.007,136780.758,198767.166,yes,yes,yes,schapen,4,extensive data,very suitable
bv341,BV09/034,136780.375,198768.082,6.524,0.01,0.007,136780.758,198767.166,yes,yes,yes,schapen,4,extensive data,very suitable
bv350,BV09/035,136596.383,198196.789,7.098,0.009,0.006,136597.006,198197.565,yes,yes,yes,schapen,4,extensive data,very suitable
bv351,BV09/035,136597.629,198198.34,7.038,0.01,0.007,136597.006,198197.565,yes,yes,yes,schapen,4,extensive data,very suitable
bv440,BV09/044,137256.727,197396.772,7.282,0.009,0.007,137255.752,197396.965,yes,yes,yes,schapen,1,extensive data,very suitable
