chromosome	scaffold	position	Fst	piPop1	piPop2	piPop1_egg	piPop2_egg	TajDPop1	TajDPop2	thetaWPop1	thetaWPop2	SPop1	SPop2	Dxy	Dxy_egg	SampleNrPop1	SampleNrPop2	genome_pos	comp
CHR1	CHR1	24452	0.0095	0.0035	0.0034	57.137	50.5663	-0.5251	-0.2512	65.3937	53.7895	232	188	0.0036	0.0019	12	12	24452	Belgium
CHR1	CHR1	50859	0	0.0021	0.002	6.8127	5.366	-0.5907	-0.5721	8.0112	6.2945	28	22	0.0021	0.0004	12	12	50859	Belgium
CHR1	CHR1	71848	0	0.0016	0.0016	1.0482	1.0706	-0.784	-1.3308	1.4093	1.7748	5	6	0.0016	0.0	12	12	71848	Belgium
CHR1	CHR1	100900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	100900	Belgium
CHR1	CHR1	120766	0.4821	0.0028	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	120766	Belgium
CHR1	CHR1	148219	0.4643	0.0028	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	148219	Belgium
CHR1	CHR1	178737	0.475	0.0059	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	178737	Belgium
CHR1	CHR1	199653	NA	0.0036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	199653	Belgium
CHR1	CHR1	223042	0.4688	0.0002	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	223042	Belgium
CHR1	CHR1	249159	NA	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	249159	Belgium
CHR1	CHR1	278105	0	0.0016	0.0041	0.1667	NA	-0.9949	NA	0.3145	NA	1	NA	0.003	NA	12	12	278105	Belgium
CHR1	CHR1	293829	0.1127	0.0036	0.0031	1.2216	NA	-0.7722	NA	1.5723	NA	5	NA	0.0041	NA	12	12	293829	Belgium
CHR1	CHR1	330086	0.308	0.0062	0.0015	1.0549	NA	-0.4566	NA	1.2302	NA	4	NA	0.0059	NA	12	12	330086	Belgium
CHR1	CHR1	353751	0.4583	0.0053	0.0	NA	NA	NA	NA	NA	NA	NA	NA	0.0053	NA	12	12	353751	Belgium
CHR1	CHR1	375285	0	0.0024	0.0012	NA	0.0	NA	NA	NA	0.0	NA	0	0.0015	NA	12	12	375285	Belgium
CHR1	CHR1	401058	0	0.0016	0.0015	11.4241	10.0056	-0.8268	-0.1612	14.3754	10.4292	51	37	0.0015	0.0002	12	12	401058	Belgium
CHR1	CHR1	425076	0	0.0023	0.0018	24.2461	17.2013	-1.0649	-0.7602	32.6969	21.1402	116	75	0.002	0.0005	12	12	425076	Belgium
CHR1	CHR1	450415	0	0.0047	0.0039	55.9987	35.6704	-1.047	-0.8658	75.0471	45.0991	270	160	0.0043	0.0017	12	12	450415	Belgium
CHR1	CHR1	472368	0	0.0043	0.0039	69.0485	53.4996	-0.8434	-0.5476	86.9599	61.7054	317	222	0.004	0.0013	12	12	472368	Belgium
CHR1	CHR1	501247	0	0.0042	0.0042	52.3336	48.2748	-0.7025	-0.5413	63.0952	55.5905	227	200	0.0041	0.0014	12	12	501247	Belgium
CHR1	CHR1	524844	0.0057	0.0046	0.0045	43.6253	34.2109	-0.8806	-0.9334	55.22	43.9011	193	151	0.0046	0.002	12	12	524844	Belgium
CHR1	CHR1	549820	0	0.004	0.0035	61.8036	42.6384	-0.7699	-0.6218	75.8229	50.07	269	175	0.0037	0.0014	12	12	549820	Belgium
CHR1	CHR1	572685	0	0.004	0.0037	61.396	45.2788	-0.6754	-0.4437	73.2861	50.6422	260	177	0.0038	0.0012	12	12	572685	Belgium
CHR1	CHR1	601179	0	0.0051	0.0049	46.8822	41.979	-1.1054	-0.5996	63.3803	48.806	218	165	0.005	0.0003	12	12	601179	Belgium
CHR1	CHR1	624668	0.0123	0.0057	0.0058	60.9024	55.2515	-0.6102	-0.2837	71.2424	59.1588	249	200	0.0059	0.0002	12	12	624668	Belgium
CHR1	CHR1	647239	0.015	0.0052	0.0056	32.0156	28.9971	0.2531	0.0744	30.16	28.4921	107	98	0.0056	0.0002	12	12	647239	Belgium
CHR1	CHR1	670708	0.0115	0.0082	0.0106	1.2395	2.1232	-1.3267	-1.1019	2.0351	3.0137	7	10	0.0097	NA	12	12	670708	Belgium
CHR1	CHR1	701959	0	0.0004	0.0002	0.0	0.0	NA	NA	0.0	0.0	0	0	0.0001	NA	12	12	701959	Belgium
CHR1	CHR1	730400	0	0.0019	0.0024	4.6559	4.1127	-0.8429	0.6604	5.9159	3.4888	20	12	0.0021	0.0005	12	12	730400	Belgium
CHR1	CHR1	751915	0	0.0045	0.0054	21.9257	20.3463	-0.7559	-0.5687	26.7477	23.5496	92	81	0.0048	0.0006	12	12	751915	Belgium
CHR1	CHR1	774863	0	0.0041	0.0041	41.6077	39.1815	-0.4139	-0.5207	46.2266	44.8173	164	159	0.004	0.0007	12	12	774863	Belgium
CHR1	CHR1	801687	0	0.0033	0.0035	63.1687	58.9196	-0.7037	-0.7233	76.1589	71.313	274	253	0.0033	0.001	12	12	801687	Belgium
CHR1	CHR1	824996	0.0052	0.0043	0.004	156.6982	151.7371	-0.1731	0.3266	163.6496	140.6439	604	506	0.0042	0.0017	12	12	824996	Belgium
CHR1	CHR1	850002	0.0199	0.005	0.0045	253.2924	250.0103	0.3331	0.925	234.0471	204.0951	874	744	0.0049	0.0022	12	12	850002	Belgium
CHR1	CHR1	873777	0.0125	0.0067	0.0057	268.57	229.8525	0.4288	0.8591	243.0359	190.3973	897	685	0.0063	0.0031	12	12	873777	Belgium
CHR1	CHR1	900402	0.0063	0.0089	0.0071	316.3225	246.3946	0.4353	0.6149	285.8449	214.5792	1055	772	0.0081	0.0033	12	12	900402	Belgium
CHR1	CHR1	925002	0.0138	0.0117	0.0089	550.7501	407.6363	0.5464	0.7155	485.8008	347.7183	1793	1251	0.0106	0.0038	12	12	925002	Belgium
CHR1	CHR1	950003	0.0168	0.0113	0.0085	592.0676	453.6364	0.4327	0.5736	535.3834	398.5836	1976	1434	0.0102	0.0039	12	12	950003	Belgium
CHR1	CHR1	974999	0.0215	0.0078	0.0064	393.8024	361.466	0.2136	0.3663	374.1004	331.9289	1397	1210	0.0074	0.0036	12	12	974999	Belgium
CHR1	CHR1	1000003	0.0195	0.0074	0.0061	358.7567	324.0075	0.2531	0.4659	337.6812	291.055	1261	1061	0.007	0.0036	12	12	1000003	Belgium
CHR1	CHR1	1025000	0.0299	0.0075	0.0062	369.5983	330.544	0.2534	0.6209	347.8571	287.2145	1299	1047	0.0072	0.0035	12	12	1025000	Belgium
CHR1	CHR1	1050001	0.0284	0.0077	0.0064	389.4618	350.098	0.3725	0.5122	356.6942	311.3548	1332	1135	0.0074	0.0038	12	12	1050001	Belgium
CHR1	CHR1	1074989	0.0218	0.0087	0.0063	406.1949	331.486	0.302	0.3447	378.2364	305.8684	1396	1115	0.0078	0.0037	12	12	1074989	Belgium
CHR1	CHR1	1099903	0.0127	0.0106	0.0064	434.1368	307.6654	0.1352	0.3492	420.2326	283.7893	1551	1021	0.0087	0.0034	12	12	1099903	Belgium
CHR1	CHR1	1125016	0.0036	0.0101	0.0063	405.7963	282.6947	-0.0116	0.4081	406.9564	257.3838	1502	926	0.0082	0.0033	12	12	1125016	Belgium
CHR1	CHR1	1150007	0.0085	0.0073	0.0057	328.1995	275.3475	-0.2462	0.2896	349.2455	257.3838	1289	926	0.0066	0.0028	12	12	1150007	Belgium
CHR1	CHR1	1174996	0.0148	0.0061	0.0046	300.1051	263.1994	0.2401	0.4022	283.3201	239.7569	1058	874	0.0055	0.0022	12	12	1174996	Belgium
CHR1	CHR1	1200000	0.0122	0.007	0.0053	350.4052	304.1179	0.844	0.8651	290.0149	251.2784	1083	916	0.0063	0.0029	12	12	1200000	Belgium
CHR1	CHR1	1225003	0.0068	0.0096	0.0082	482.5648	447.4534	0.573	0.6986	423.213	383.0183	1562	1378	0.009	0.0038	12	12	1225003	Belgium
CHR1	CHR1	1250002	0.0066	0.0106	0.0093	492.6852	465.2811	0.3712	0.5989	451.662	406.6442	1667	1463	0.0101	0.0036	12	12	1250002	Belgium
CHR1	CHR1	1274981	0.0242	0.01	0.0083	447.7259	401.9013	0.3415	0.7669	413.1881	338.787	1525	1235	0.0096	0.0039	12	12	1274981	Belgium
CHR1	CHR1	1300044	0.0366	0.0101	0.0077	480.3211	390.4643	0.4497	0.8659	432.696	322.602	1597	1176	0.0095	0.0049	12	12	1300044	Belgium
CHR1	CHR1	1324963	0.0234	0.0104	0.008	497.2169	414.0217	0.4338	1.0139	449.4944	332.2032	1659	1211	0.0096	0.0047	12	12	1324963	Belgium
CHR1	CHR1	1349972	0.0141	0.0085	0.0064	386.7706	316.9634	0.4284	0.7816	350.0584	266.3661	1292	971	0.0077	0.0033	12	12	1349972	Belgium
CHR1	CHR1	1375141	0.0194	0.0066	0.0053	315.4564	270.1053	0.5246	0.4019	279.3033	246.0663	1043	897	0.0062	0.0031	12	12	1375141	Belgium
CHR1	CHR1	1400004	0.0158	0.0091	0.0076	460.7997	424.675	0.625	0.6824	399.2725	364.2989	1491	1328	0.0086	0.0041	12	12	1400004	Belgium
CHR1	CHR1	1425001	0.0044	0.0115	0.0093	576.8675	509.9117	0.6863	0.9379	493.9291	415.3226	1823	1514	0.0105	0.0046	12	12	1425001	Belgium
CHR1	CHR1	1450004	0	0.0115	0.0096	569.5931	509.1693	0.5199	1.0294	505.3087	408.034	1865	1468	0.0105	0.0044	12	12	1450004	Belgium
CHR1	CHR1	1474997	0.0134	0.011	0.0104	525.3175	505.9721	0.4986	0.9448	468.1895	412.2033	1728	1483	0.011	0.0047	12	12	1474997	Belgium
CHR1	CHR1	1500003	0.0232	0.011	0.0114	509.9494	534.7215	0.6847	0.8034	436.7601	448.0591	1612	1612	0.0117	0.0044	12	12	1500003	Belgium
CHR1	CHR1	1524912	0.0175	0.0125	0.0113	562.3608	548.6768	0.3706	0.4579	515.6045	494.1992	1903	1778	0.0123	0.0047	12	12	1524912	Belgium
CHR1	CHR1	1550309	0.0134	0.0128	0.0117	587.8302	573.2766	0.0623	0.1234	579.0052	556.7384	2137	2003	0.0126	0.0052	12	12	1550309	Belgium
CHR1	CHR1	1574997	0.011	0.0095	0.009	463.3068	472.0893	-0.0072	0.0962	464.1254	461.4008	1713	1660	0.0095	0.0035	12	12	1574997	Belgium
CHR1	CHR1	1600005	0.0152	0.0083	0.0069	415.7388	392.4217	0.1907	0.3957	397.2024	358.2805	1466	1289	0.0078	0.0028	12	12	1600005	Belgium
CHR1	CHR1	1624997	0.0131	0.0095	0.0079	477.6762	433.9489	0.5978	0.9562	416.7103	352.7215	1538	1269	0.0089	0.0035	12	12	1624997	Belgium
